iter	Passed	Remaining
0	144	144591
1	146	73061
2	148	49403
3	149	37278
4	151	30095
5	152	25229
6	153	21792
7	154	19161
8	155	17110
9	156	15469
10	157	14128
11	157	13006
12	158	12059
13	160	11277
14	160	10570
15	161	9946
16	162	9395
17	163	8905
18	163	8466
19	164	8073
20	165	7716
21	166	7392
22	167	7095
23	167	6822
24	168	6572
25	169	6340
26	170	6131
27	170	5932
28	171	5747
29	172	5574
30	173	5420
31	174	5271
32	175	5131
33	175	4998
34	176	4872
35	177	4755
36	178	4641
37	179	4533
38	179	4431
39	180	4334
40	181	4241
41	182	4154
42	182	4071
43	183	3990
44	184	3913
45	185	3840
46	185	3770
47	186	3703
48	187	3644
49	188	3583
50	189	3523
51	190	3466
52	190	3412
53	191	3360
54	192	3308
55	193	3259
56	194	3210
57	194	3164
58	195	3119
59	196	3075
60	197	3032
61	197	2991
62	198	2952
63	199	2913
64	199	2876
65	200	2841
66	201	2806
67	202	2774
68	203	2742
69	204	2711
70	204	2680
71	205	2650
72	206	2621
73	207	2593
74	208	2566
75	209	2541
76	209	2516
77	210	2490
78	211	2465
79	212	2440
80	212	2416
81	213	2393
82	214	2366
83	215	2344
84	215	2322
85	216	2302
86	217	2281
87	218	2261
88	218	2241
89	219	2222
90	220	2203
91	221	2185
92	222	2169
93	223	2151
94	224	2134
95	224	2117
96	225	2100
97	226	2083
98	227	2068
99	228	2052
100	228	2036
101	229	2021
102	230	2005
103	231	1990
104	231	1977
105	232	1962
106	233	1948
107	234	1934
108	235	1921
109	235	1907
110	236	1895
111	237	1881
112	238	1868
113	238	1856
114	239	1843
115	240	1831
116	241	1819
117	241	1807
118	242	1796
119	243	1784
120	244	1773
121	244	1761
122	245	1750
123	246	1740
124	247	1730
125	247	1719
126	248	1708
127	249	1699
128	250	1689
129	251	1679
130	251	1670
131	252	1660
132	253	1651
133	254	1642
134	255	1633
135	255	1625
136	256	1616
137	257	1608
138	258	1599
139	259	1591
140	259	1583
141	260	1574
142	261	1567
143	262	1559
144	263	1551
145	264	1544
146	264	1536
147	265	1528
148	266	1521
149	267	1514
150	268	1506
151	268	1499
152	269	1493
153	270	1485
154	271	1478
155	272	1471
156	272	1464
157	273	1457
158	274	1451
159	275	1444
160	275	1436
161	276	1430
162	277	1424
163	278	1418
164	279	1412
165	279	1405
166	280	1399
167	281	1393
168	282	1387
169	282	1381
170	283	1375
171	284	1369
172	285	1363
173	286	1358
174	286	1352
175	287	1346
176	288	1341
177	289	1335
178	290	1330
179	291	1329
180	292	1324
181	293	1320
182	294	1315
183	295	1311
184	296	1307
185	297	1303
186	298	1298
187	299	1295
188	300	1291
189	302	1287
190	303	1283
191	304	1281
192	306	1279
193	307	1276
194	308	1272
195	308	1267
196	309	1262
197	310	1258
198	311	1253
199	312	1249
200	313	1245
201	314	1240
202	314	1236
203	315	1232
204	316	1228
205	317	1224
206	318	1220
207	319	1217
208	321	1215
209	322	1211
210	322	1207
211	323	1203
212	324	1200
213	325	1196
214	326	1192
215	327	1188
216	328	1184
217	328	1180
218	329	1176
219	330	1172
220	331	1168
221	332	1164
222	333	1161
223	334	1157
224	335	1154
225	336	1150
226	336	1147
227	337	1143
228	338	1140
229	339	1136
230	340	1133
231	341	1129
232	342	1126
233	342	1122
234	343	1118
235	344	1115
236	345	1111
237	346	1108
238	346	1104
239	347	1100
240	348	1097
241	349	1093
242	350	1090
243	351	1087
244	352	1084
245	352	1081
246	353	1078
247	354	1075
248	355	1072
249	356	1069
250	357	1066
251	358	1063
252	359	1060
253	360	1058
254	361	1055
255	362	1053
256	364	1054
257	365	1052
258	366	1049
259	367	1046
260	368	1043
261	369	1040
262	370	1039
263	372	1037
264	372	1034
265	373	1031
266	374	1028
267	375	1025
268	376	1022
269	376	1019
270	377	1016
271	380	1017
272	381	1015
273	382	1013
274	383	1010
275	384	1008
276	385	1005
277	386	1002
278	386	999
279	387	996
280	388	994
281	389	991
282	390	988
283	391	985
284	391	983
285	392	980
286	393	978
287	394	975
288	395	973
289	396	970
290	397	967
291	398	965
292	398	962
293	399	959
294	400	957
295	401	954
296	402	952
297	403	949
298	404	947
299	405	945
300	406	943
301	407	942
302	409	942
303	410	940
304	411	938
305	412	936
306	414	936
307	416	935
308	417	933
309	418	931
310	419	929
311	420	927
312	421	925
313	422	923
